項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude,行政區
1,2,9,63000050,忠孝東路1段12號,喜來登大飯店,25.01973673645995,121.3849317538406,中正區
2,2,5,63000050,中山南路7號,臺大醫院,25.040570277812094,121.51811937537666,中正區
3,2,5,63000050,中山南路8號,臺大醫院兒童醫療大樓,25.044327077809783,121.51600807537694,中正區
4,2,5,63000050,北平東路28號2樓,創世清寒植物人安養院,25.045830877808697,121.52281787537677,中正區
5,2,4,63000050,忠孝東路1段85號,凱撒世貿大樓,25.044202377809704,121.52419497537676,中正區
6,2,4,63000050,忠孝東路1段83號,凱撒花園大樓,25.04423457780981,121.52399247537676,中正區
7,2,4,63000050,杭州南路1段15號,醒吾大樓,25.04264077781075,121.52411767537669,中正區
8,2,4,63000050,忠孝東路2段88號,海華金融大廈,25.042963477810627,121.52685797537683,中正區
9,2,4,63000050,仁愛路2段61、63號,鴻禧大樓,25.038660277813367,121.52779097537665,中正區
10,2,1,63000050,齊東街53巷2號至10號,木造建築物,25.04149867781155,121.52597227537673,中正區
11,2,9,63000050,新生南路1段6號,來來忠孝大樓,25.04391797780995,121.53004407537692,中正區
12,2,9,63000050,中山南路21號,國立中正文化中心,25.034652177815897,121.51925157537637,中正區
13,2,9,63000050,信義路2段81號,東門市場,25.034583177816113,121.52401937537655,中正區
14,2,9,63000050,臨沂街44巷1號木造建築物,木造建築物,25.03724987781431,121.52634817537664,中正區
15,2,9,63000050,臨沂街63巷18號對面,木造建築物,25.03448642781601,121.52601092537638,中正區
16,2,9,63000050,臨沂街65巷11號,木造建築物,25.03577557781526,121.52717727537645,中正區
17,2,7,63000050,忠孝東路1段12號,喜來登大飯店附設立體停車塔,25.01973673645995,121.3849317538406,中正區
18,2,7,63000050,忠孝東路2段80號,天裔大廈停車塔,25.043103477810515,121.5264507753769,中正區
19,2,4,63000050,忠孝東路2段123號,兆豐金融大樓,25.042883977810718,121.52992627537678,中正區
20,2,4,63000050,濟南路1段2之2號,中央聯合大樓北棟,25.042681377810815,121.51753667537687,中正區
21,2,4,63000050,徐州路5號,中央聯合大樓南棟,25.042112877811164,121.51696837537676,中正區
22,2,9,63000050,仁愛路1段1號,臺大基礎醫學大樓,25.039539777812756,121.51709267537669,中正區
23,2,9,63000050,杭州南路1段28-1號,中華電信數據通信大樓,25.03607307781503,121.52151407537647,中正區
24,1,4,63000050,中華路1段39號,臺糖騰雲大樓,25.01973673645995,121.3849317538406,松山區
25,2,1,63000050,武昌街1段16及22巷一帶,城中市場,25.01973673645995,121.3849317538406,松山區
26,1,4,63000050,忠孝西路1段38號,凱撒飯店,25.045456394940057,121.50954545386185,中正區
27,2,4,63000050,忠孝西路1段66號,新光人壽摩天大樓 ,25.046657477808164,121.51275167537688,中正區
28,2,4,63000050,忠孝西路1段50號,亞洲廣場,25.045771577808726,121.5132458753768,中山區
29,1,6,63000050,公園路52號,臺北大眾捷運股份有限公司淡水信義線臺大醫院站,25.047060279676124,121.41818538057944,新莊區
30,2,6,63000050,忠孝西路1段50-1號B1,臺北市站前地下街,25.046339327808393,121.51293967537683,中正區
31,2,6,63000050,寶慶路32-1號,臺北大眾捷運股份有限公司板南線西門站,25.041477577811598,121.50639597537678,中正區
32,2,5,63000050,新生南路1段124-3號1-4樓,大園老人養護所,25.03753317781417,121.52985397537661,中正區
33,2,5,63000050,新生南路1段124-3號5樓,仁泰老人養護所,25.03753317781417,121.52985397537661,中正區
34,2,9,63000050,晉江街一帶,磚木造平房,25.027702511281376,121.51868824281217,中正區
35,2,9,63000050,永春街一帶,磚木造平房,25.019668601165,121.30252200441312,信義區
36,2,9,63000050,詔安街一帶,磚木造平房,25.025361077822,121.50966887537614,中正區
37,2,4,63000050,仁愛路1段50號,交通部交通通訊傳播大樓,25.037679377813976,121.52204077537654,中正區
38,2,9,63000050,忠孝西路1段7號,中央住商辦公大樓,25.04638207780828,121.516740175377,中正區
39,1,9,63000050,重慶南路1段99號,世界大樓,25.043088477810493,121.51076387537675,中正區
40,1,9,63000050,許昌街17號,壽德大樓,25.04583647780875,121.51425567537693,中正區
41,2,9,63000050,林森南路(仁愛路1段至羅斯福路1段),林森南路車行地下道,25.03848497781345,121.5188665753766,中正區
42,1,9,63000050,惠安街17號地下一樓,集合住宅,25.029624977819296,121.5041566753765,中正區
43,2,9,63000050,羅斯福路四段136巷3號,東南亞秀泰影城,25.01278307783003,121.53268587537585,中正區
44,2,9,63000050,中華路二段315巷5弄,南機場夜市,25.02865052781986,121.5034769253764,中正區
45,2,5,63000080,羅斯福路6段280號,景美醫院,24.99119492784424,121.5372819253751,文山區
46,1,5,63000080,溪口街1巷5號3、4樓,美安老人長期照顧中心,24.994048977842247,121.53729207537518,文山區
47,2,5,63000080,辛亥路5段120-1號1-4樓,心慈老人養護所,24.997483977839952,121.54956387537521,文山區
48,2,9,63000080,辛亥路5段至6段,懷恩隧道,25.00401398146254,121.52588083048958,大安區
49,2,9,63000080,萬芳交流道至信義路5段150巷,文山隧道,25.013485181069214,121.54874838050935,信義區
50,2,4,63000080,木柵路3段177號B5至24樓,遠雄日光,24.989845232051227,121.54630553046005,文山區
51,1,5,63000080,車前路12號3至4樓,三園老人長期照顧中心,24.991508777843848,121.53836027537513,文山區
52,2,5,63000080,木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,臺北市私立吉祥老人長期照顧中心(養護型),24.98820484553424,121.55778980383212,文山區
53,2,9,63000080,興隆路3段185及207巷,來來社區,24.996621231769655,121.53467473047421,文山區
54,2,5,63000080,木柵路2段163、165號2-4樓,慧誠老人養護所,25.019668601165,121.30252200441312,文山區
55,1,9,63000080,景興路,仙跡岩集合住宅,24.993236477842853,121.54184187537521,文山區
56,2,9,63000080,景興路153巷,景興路集合住宅,24.99380017784244,121.54270117537511,文山區
57,2,9,63000080,羅斯福路6段403號B1,總動員KTV(好樂迪),24.99187797784374,121.53815037537515,文山區
58,1,5,63000080,溪口街1巷5號,景安老人養護所,24.994048977842247,121.53729207537518,文山區
59,2,5,63000080,興隆路2段95巷8號3至5樓,臺北市私立文山老人養護所,25.00005807783838,121.54431817537542,文山區
60,2,9,63000080,秀明路2段115巷1至13號,翡翠城堡社區大廈,24.99130687784411,121.57442307537502,文山區
61,2,5,63000080,萬和街6號8號5樓,創世基金會植物人安養中心文山分會,25.001901277837263,121.56471847537547,文山區
62,2,5,63000080,興隆路4段109巷30號4樓,臺北市政府社會局老人自費安養中心,24.986303877847245,121.55990987537497,文山區
63,2,5,63000080,政大二街129號,兆如老人養護中心,24.98923137784536,121.58141277537501,文山區
64,2,2,63000080,試院路144巷及154巷一帶,集合住宅,24.991493431982736,121.52912053046347,文山區
65,2,4,63000080,辛亥路6段21巷2至40號,發現之旅社區大廈,24.991325877844027,121.55005147537516,文山區
66,2,5,63000080,景興路222號3樓,景興老人長期照顧中心,24.99115807784419,121.54082717537511,文山區
67,2,9,63000080,羅斯福路5段172-1號B1,易儲居企業有限公司,25.004286577835668,121.53572267537562,文山區
68,2,9,63000080,羅斯福路4段200號2樓,獅子王企業股份有限公司,25.01079167783139,121.53433437537572,文山區
69,2,9,63000070,成都路81號3樓,聚歡暢文化有限公司,25.043125077810533,121.50270857537684,萬華區
70,2,9,63000070,漢口街2段54號,六福大樓,25.04576877780877,121.50347817537684,萬華區
71,2,5,63000070,廣州街243號,仁濟醫院,25.036918477814435,121.49544507537658,萬華區
72,1,6,63000070,和平西路3段與西園路1段間,捷運龍山寺站暨地下商場,25.03697151125754,121.49510994281347,萬華區
73,2,5,63000070,峨眉街124-1號,中山老人安養中心,25.044575877809557,121.49945767537693,萬華區
74,1,9,63000070,西昌街（桂林街以南、廣州街以北）,西昌夜市,25.036793361257974,121.4944159928131,萬華區
75,1,9,63000070,廣州街（西園路1段以西、環河南路以東）,艋舺夜市及廣州夜市,25.034382861264433,121.49465194281291,萬華區
76,1,5,63000070,柳州街41號4樓,育仁啟能中心,25.03845637781347,121.50284627537668,萬華區
77,1,9,63000070,西寧南路4號,西寧行政大樓及西寧市場,25.047726977807482,121.504601275377,萬華區
78,1,8,63000070,西寧南路70號,萬年商業大樓,25.04519497780913,121.50393607537694,萬華區
79,1,8,63000070,漢中街52號,萬國百貨,25.04389727780998,121.50453777537679,萬華區
80,1,8,63000070,峨嵋街52號,誠品百貨-西門店,25.043653377810106,121.5027531753768,萬華區
81,1,8,63000070,漢中街116號,H&M成衣公司,25.04296277781056,121.50473102537686,萬華區
82,2,9,63000070,西園路2段52巷14弄以西與16弄以東所圍街廓及西園路2段52巷17號以東、西園路2段52巷14弄2號以西、西園路2段50巷4弄以南、西園路2段52巷以北所圍街廓,傳統市場,25.03003227138847,121.43408220179738,萬華區
83,2,9,63000070,青年路106號,南機場三號基地國宅,25.0228970778236,121.49997587537612,萬華區
84,1,9,63000070,萬華區成都路110號,成都大樓,25.04361887781016,121.49922967537677,萬華區
85,1,8,63000070,武昌街2段77號,誠品百貨-武昌店,25.045164877809196,121.50315167537676,萬華區
86,1,4,63000070,西寧南路127號,阿曼TIT,25.044382177809627,121.50397247537683,萬華區
87,1,9,63000070,西昌街188、190號B1樓,地下層蝸居,25.037746277813913,121.49791417537662,萬華區
88,2,9,63000070,中華路二段336號,忠恕社區連棟式集合住宅,25.029530777819247,121.50172917537644,萬華區
89,2,9,63000070,萬華區漢中街42號6樓,金元寶餐廳(歌廳),25.044234277809693,121.50469597537675,萬華區
90,2,9,63000070,萬華區漢口街2段54號3樓,相思園餐坊(卡拉ok),25.045693177808865,121.50313157537686,萬華區
91,2,9,63000070,萬華區漢中街42號7樓,星光百分百餐廳(歌廳 ),25.044227577809714,121.50470347537672,萬華區
92,2,9,63000070,萬華區峨眉街5號2樓,新櫻花音樂茶坊,25.043434577810228,121.50546137537687,萬華區
93,2,9,63000070,萬華區漢口街2段54號2樓之13,皇鳳餐廳(歌廳),25.04576877780877,121.50347817537684,萬華區
94,2,9,63000070,萬華區漢口街2段54號3F樓,舞帝有限公司,25.04576877780877,121.50347817537684,萬華區
95,2,9,63000070,萬華區武昌街2段89號5樓,映捌玖數位影城有限公司,25.04547717780899,121.50133747537681,萬華區
96,2,9,63000070,萬華區中華路1段144號9樓,新世界音樂城(歌廳),25.04316097781042,121.50550057537673,萬華區
97,2,9,63000070,萬華區西寧南路70號9樓,萬歲企業有限公司(MTV),25.043507977810172,121.50331107537674,萬華區
98,2,9,63000070,萬華區漢口街2段54號2樓,亞洲舞廳,25.045673277808785,121.5032175753769,萬華區
99,2,9,63000070,西昌街201之2號B1-5樓,住宅(蝸居),25.037709577814024,121.49802082537664,萬華區
100,2,9,63000070,萬華區漢中街116號7樓,中影股份有限公司真善美分公司,25.042690577810745,121.50476217537675,萬華區
101,2,9,63000070,萬華區成都路13號8樓,僖友國際股份有限公司(舞廳),25.042891577810536,121.50475357537674,萬華區
102,2,9,63000070,萬華區西寧南路36號4樓,新光三越百貨股份有限公司獅子林分公司(新光影城),25.045216877809075,121.50384907537689,萬華區
103,2,9,63000070,萬華區武昌街2段89號1至4樓,豪華大戲院股份有限公司,25.04555057780886,121.50139667537692,萬華區
104,2,9,63000070,漢中街52號8至11樓,絕色影城股份有限公司(台北西門威秀影城),25.04389727780998,121.50453777537679,萬華區
105,2,9,63000070,萬華區成都路88號1至7樓,國賓企業股份有限公司(電影院),25.042961877810605,121.50199437537677,萬華區
106,2,9,63000070,萬華區武昌街2段85號1樓,樂聲大戲院股份有限公司,25.045372977808956,121.50225737537691,萬華區
107,2,8,63000070,萬華區西寧南路36號1F-3F樓,獅子林商場,25.0450189778092,121.50351307537674,萬華區
108,2,9,63000070,和平西路三段187號2樓,金巴黎風味軒餐廳,25.03546777781544,121.4952270753765,萬華區
109,2,9,63000070,漢口街二段54號3樓,夜上海有限公司,25.045693177808865,121.50313157537686,萬華區
110,2,9,63000070,漢口街二段55號B1樓,好聚點茶坊,25.045937577808658,121.50355067537694,萬華區
111,2,9,63000070,漢口街二段37號1樓,東方足體養生館有限公司,25.045670677808804,121.50470607537692,萬華區
112,2,9,63000070,東園街135號,東園市,25.02489257782232,121.49450277537632,萬華區
113,2,2,63000030,和平東路3段606巷及632巷底,違章建築住宅,25.01973673645995,121.3849317538406,信義區
114,2,4,63000030,忠孝東路3段265號,朕廈社區,25.041890077811228,121.53979827537661,大安區
115,2,4,63000030,敦化南路2段201至209號,遠企大樓場所(併鼎鼎大飯店),25.02656847782129,121.54669087537634,大安區
116,1,5,63000030,仁愛路4段112巷11號,中山醫院,25.03651497781475,121.54735397537657,大安區
117,2,9,63000030,和平東路3段636巷167號,臺和實業股份有限公司,25.008190777833114,121.5615666753756,大安區
118,1,5,63000030,仁愛路4段266巷6號,國泰醫院,25.03718177781434,121.55016897537655,大安區
119,2,1,63000030,基隆路3段155巷,空軍眷村,25.01333017782983,121.54192587537595,大安區
120,1,5,63000030,仁愛路4段10號,仁愛醫院,25.037279977814237,121.54262432537654,大安區
121,1,5,63000030,忠孝東路4段77號,中心診所,25.041881077811244,121.54331802537675,大安區
122,1,5,63000030,仁愛路4段61號,宏恩醫院,25.03832607781354,121.54427827537664,大安區
123,1,6,63000030,忠孝東路、復興南路口,捷運板南線忠孝復興站,25.025040827822295,121.53967537537628,大安區
124,1,6,63000030,忠孝東路、敦化南路地下街,捷運板南線地下街,25.041327077811566,121.54558617537677,中山區
125,1,9,63000030,信義路4段60號,信維市場,25.032852177817098,121.54321177537648,大安區
126,1,9,63000030,信義路4段2號,捷運木柵線及信義線大安站,25.03383887781651,121.5390193753765,大安區
127,2,9,63000030,和平東路3段底,莊敬隧道,25.021078245192886,121.54354605384918,信義區
128,2,9,63000030,和平東路1段177號,和平大廈,25.02657727782131,121.52980897537633,大安區
129,2,1,63000030,羅斯福路4段119巷60弄,老舊建築,25.00942777783234,121.5360159753756,大安區
130,2,7,63000030,通化街39巷49弄12號,珍珠細道立體停車塔,25.03107957781835,121.55292347537649,大安區
131,2,7,63000030,忠孝東路4段205巷38號,台灣聯通停車場-建安場,25.0441486778098,121.54916977537681,大安區
132,2,7,63000030,光復南路676巷16號,莎軒住商大樓立體停車塔,25.030709677818518,121.55379397537646,大安區
133,1,9,63000030,忠孝東路4段201號,統領商業大樓,25.041651477811346,121.54922567537673,大安區
134,1,5,63000030,忠孝東路4段116巷1-5號,秀傳醫院,25.01973673645995,121.3849317538406,中正區
135,2,1,63000030,基隆路3段155巷107弄,台大教職員宿舍,25.01306147783001,121.54273722537586,大安區
136,1,6,63000030,信義路2段166號,捷運東門站,25.033567877816672,121.52690257537662,大安區
137,2,7,63000030,信義路4段265巷17-1號,昌軒小君悅立體停車塔,25.03422427781618,121.55204657537651,大安區
138,1,5,63000030,基隆路3段155巷57號,台大癌醫中心,25.01399987782936,121.54014187537584,大安區
139,2,7,63000020,光復南路567號,愛馬屋停車塔,25.03073047781845,121.5550115753764,信義區
140,2,4,63000020,松仁路32、36、38號,新光金融大樓,25.03875577781325,121.56559547537655,信義區
141,1,4,63000020,忠孝東路5段6、8號,市政府轉運站暨統一時代百貨公司,25.041323077811636,121.56255247537676,信義區
142,1,9,63000020,松仁路38號,寒舍艾美酒店,25.038184877813602,121.56550287537668,信義區
143,2,9,63000020,永吉路443、491巷一帶,五分埔成衣商店街,25.046541477808233,121.57659172537691,信義區
144,2,2,63000020,褔德街221巷,集合住宅,25.02180433987992,121.43829561106773,信義區
145,2,9,63000020,紫雲街22-26號,挹翠山莊RC住宅,25.01820317782673,121.57155997537605,信義區
146,2,9,63000020,崇德街200號以上,平房住宅,25.01973673645995,121.3849317538406,信義區
147,2,4,63000020,信義路5段150巷8號,雲鼎大樓,25.028731977819753,121.56815057537627,信義區
148,2,4,63000020,忠孝東路5段508至510號,家美國際金融大樓,25.036851480099504,121.54355693055815,信義區
149,2,4,63000020,基隆路1段200號,遠雄大樓,25.04021997781235,121.56100697537664,信義區
150,2,4,63000020,基隆路2段189號,文普世紀天廈,25.02486177782233,121.55083497537606,信義區
151,2,4,63000020,基隆路1段206號,點石大樓及瀚寓酒店,25.039811477812627,121.5607363753767,信義區
152,2,4,63000020,基隆路1段333號,國際貿易大樓,25.03425387781622,121.55853667537647,信義區
153,2,4,63000020,松德路151號,福爾摩沙大廈,25.036632577814697,121.57237197537661,信義區
154,1,4,63000020,松壽路2號,君悅大飯店,25.035170777815665,121.56029197537636,信義區
155,2,4,63000020,松德路94號,國際名紳大廈,25.03793547781381,121.57269527537656,信義區
156,2,4,63000020,信義路5段150巷2號,環球世貿大樓,25.028946377819686,121.56947767537635,信義區
157,2,4,63000020,松德路93至127號,凱夏社區大樓,25.03797057781381,121.57346827537667,信義區
158,2,4,63000020,松德路171號,僑泰首席大樓,25.035781577815268,121.57226777537664,信義區
159,1,4,63000020,信義路5段7號、市府路45號,臺北101大樓,25.033904527816336,121.56191977537644,信義區
160,2,4,63000020,信義路4段460至466號,信基大樓,25.03273427781717,121.55621627537649,信義區
161,2,4,63000020,信義路4段456至458號,世紀金融廣場,25.032826977817123,121.55576227537645,信義區
162,2,4,63000020,松仁路3號,中油大樓,25.039767777812628,121.5663877753767,信義區
163,2,4,63000020,松仁路7號,國泰金融大樓,25.03813987781372,121.56610177537655,信義區
164,1,5,63000020,吳興街252號,臺北醫學大學附設醫院,25.026955477820973,121.56043707537631,信義區
165,2,5,63000020,信義路6段15巷16號1樓,臺北市私立康庭老人養護所,25.035263277815503,121.57272397537653,信義區
166,2,5,63000020,中坡北路21號1-2樓、23號2樓,臺北市私立倚青苑老人養護所,25.04490487780928,121.57827107537683,信義區
167,2,5,63000020,松隆路36號6樓,恆愛發展中心,25.0433498778103,121.56488917537673,信義區
168,1,9,63000020,松山路11號,松山火車站暨潤泰百益股份有限公司,25.049267977806473,121.575709975377,松山區
169,1,5,63000020,松德路309號,臺北市立療養院,25.0292131778196,121.57194437537645,信義區
170,2,9,63000020,菸廠路88號,松山菸廠-誠品生活股份有限公司松山分公司,25.044560777809593,121.5587757753769,松山區
171,2,6,63000020,忠孝東路4段400號,捷運板南線國父紀念館站,25.041357277811578,121.55500907537672,信義區
172,2,6,63000020,忠孝東路5段、虎林街口(忠孝東路5段455號),捷運板南線永春站,25.048455877807015,121.57300347537709,信義區
173,1,6,63000020,忠孝東路5段、基隆路口,捷運板南線市政府站,25.048412577807095,121.56639727537697,信義區
174,1,8,63000020,忠孝東路5段297號,"七品餐坊七品餐坊
(含KTV SING!GO)",25.041145277811673,121.57181777537674,信義區
175,2,8,63000020,松壽路11號,新光三越百貨公司A11館,25.03605227781501,121.56451447537657,信義區
176,2,8,63000020,松高路12號,新光三越百貨公司A8館,25.03822407781365,121.5642159753766,信義區
177,1,8,63000020,松壽路12號,"ATT 4 FUN
(含KTV SING!GO)",25.035313577815582,121.56349097537658,信義區
178,1,9,63000020,信義路5段1號,臺北國際會議中心,25.03358207781667,121.55824067537652,信義區
179,1,9,63000020,信義路5段5號,世貿展覽中心,25.033259077816833,121.55974907537639,信義區
180,2,9,63000020,吳興街600巷,吳興街狹小巷道,25.02081062782493,121.56704482537609,信義區
181,2,9,63000020,信義路5段,信義快速道路(象山隧道),25.032958177817097,121.56454567537652,信義區
182,2,8,63000020,松高路19號,新光三越百貨公司A4館,25.039732577812682,121.56391017537669,信義區
183,2,4,63000020,松高路9、11號,統一國際大樓,25.039749677812726,121.56234867537665,信義區
184,2,9,63000020,信義路4段375號,玫瑰欣欣大樓,25.033296977816768,121.55522147537663,信義區
185,2,9,63000020,基隆路2段22號,惠安大樓,25.03198667781772,121.55612687537645,信義區
186,2,9,63000020,基隆路1段432號,雙雄世貿大樓,25.033721277816596,121.55703647537649,信義區
187,2,9,63000020,基隆路2段109號B1,好樂迪KTV,25.028955677819695,121.55482677537643,信義區
188,2,4,63000020,松智路1號,華新麗華大樓,25.03875877781324,121.56368457537667,信義區
189,2,8,63000020,松仁路28號,震怡股份有限公司,25.03958237781283,121.56522747537684,信義區
190,1,8,63000020,松壽路22號,NEO19,25.035364977815554,121.56533877537655,信義區
191,2,4,63000020,信義路5段95號,冠德遠見大樓,25.03318397781693,121.56945057537642,信義區
192,2,4,63000020,信義路5段91巷2號,寶徠花園廣場社區,25.03334437781678,121.56853917537654,信義區
193,2,8,63000020,松壽路9號,新光三越A9館,25.036310377814846,121.56428387537662,信義區
194,1,4,63000020,忠孝東路5段10號,時代飯店,25.041444977811555,121.56271707537668,信義區
195,2,9,63000020,信義路5段(松仁路至松德路段),信義車行地下道,25.032958177817097,121.56454567537652,信義區
196,1,4,63000020,松高路16、18號,富邦信義商旅大樓(含寒舍國際酒店股份有限公司及微風置地股份有限公司松高分公司),25.038155377813666,121.56473897537661,信義區
197,2,9,63000020,逸仙路26巷1號B1,收多易股份有限公司,25.03956287781277,121.55933647537665,信義區
198,2,4,63000020,松勇路69巷2號,臺北信義社區,25.033336477816874,121.56794657537651,信義區
199,2,7,63000020,富陽街57號,名人居-停車塔,25.022149277824074,121.5539536753761,信義區
200,2,4,63000020,松仁路123號,華南銀行總行大樓,25.034519177816072,121.56620597537648,信義區
201,2,4,63000020,松高路1號,遠雄金融中心,25.039624977812725,121.5617328753765,信義區
202,2,7,63000020,忠孝東路5段15巷15號,筌壹企業股份有限公司停車場(停車塔),25.04190087989008,121.52864993056872,信義區
203,2,7,63000020,光復南路439號,仁愛PAGE 1大樓(停車塔),25.035665377815317,121.55515257537658,信義區
204,2,7,63000020,信義路4段450巷1號,愛馬屋101場(停車塔),25.03243797781736,121.55603407537646,信義區
205,2,4,63000020,松勇路53巷21號,文心信義大樓,25.034457027816156,121.5681867253764,信義區
206,2,4,63000020,松智路17號,南山人壽保險股份有限公司(南山廣場),25.03450187781606,121.56362417537645,信義區
207,2,4,63000020,忠孝東路5段68號,國泰置地廣場暨信義微風百貨,25.041060329924925,121.53058723056697,信義區
208,2,8,63000020,松仁路58號,遠東百貨A13,25.036755577814624,121.56537557537656,信義區
209,2,4,63000020,松高路77號,富邦信義大樓A棟,25.039333377812927,121.56776987537667,信義區
210,2,9,63000020,松壽路12號10樓,唯優餐飲有限公司,25.03538647781549,121.56340087537656,信義區
211,2,9,63000020,松壽路22號B1樓,樂三實業股份有限公司(UNDERLINK),25.03550307781545,121.56528507537658,信義區
212,1,9,63000020,忠孝東路4段515號,臺北文化體育園區,25.042254894973244,121.5420882038602,信義區
213,2,4,63000090,南港路3段47巷55號,潤泰玉成總部辦公大樓,25.05185627780487,121.58872137537718,南港區
214,2,9,63000090,中南街1號2樓,中南街1號2樓,25.0550799778026,121.61278807537715,南港區
215,1,6,63000090,忠孝東路7段380號,捷運板南線南港站,25.051856177804883,121.604002075377,南港區
216,1,5,63000090,同德路87號,忠孝醫院,25.04659967780816,121.58356727537691,南港區
217,2,9,63000090,南港路1段32號,捷運文湖線南港展覽館站,25.05493107780282,121.61430297537714,南港區
218,1,9,63000090,三重路19號,南港經貿園區,24.91074040820465,121.00651028990458,南港區
219,2,2,63000090,中南街134巷內,老舊社區,25.053468044450984,121.61396683868077,南港區
220,2,9,63000090,研究院路3段161巷3號,六韜瓦斯分裝場,25.030819477818337,121.61222787537628,南港區
221,1,9,63000090,經貿二路1號,台北世貿南港展覽館,25.05644517780173,121.61537637537711,南港區
222,2,9,63000090,研究院路1段99號,太陽大帝住商大廈,25.05226697780457,121.6138085753771,南港區
223,1,9,63000090,南港區研究院路2段128號內之(化學研究所) ,中央研究院,25.042441161243282,121.60910199281396,南港區
